Duration__in_seconds_,ResponseId,RIASEC_1,RIASEC_2,RIASEC_3,RIASEC_4,RIASEC_5,RIASEC_6,RIASEC_7,RIASEC_8,RIASEC_9,RIASEC_10,RIASEC_11,RIASEC_12,RIASEC_13,RIASEC_14,RIASEC_15,RIASEC_16,RIASEC_17,RIASEC_18,RIASEC_19,RIASEC_20,RIASEC_21,RIASEC_22,RIASEC_23,RIASEC_24,RIASEC_25,RIASEC_26,RIASEC_27,RIASEC_28,RIASEC_29,RIASEC_30,RIASEC_31,RIASEC_32,RIASEC_33,RIASEC_34,RIASEC_35,RIASEC_36,RIASEC_37,RIASEC_38,RIASEC_39,RIASEC_40,RIASEC_41,RIASEC_42,RIASEC_43,RIASEC_44,RIASEC_45,RIASEC_46,RIASEC_47,RIASEC_48,RIASEC_49,RIASEC_50,RIASEC_51,RIASEC_52,RIASEC_53,RIASEC_54,RIASEC_55,RIASEC_56,RIASEC_57,RIASEC_58,RIASEC_59,RIASEC_60,NARC_1,NARC_2,NARC_3,NARC_4,NARC_5,NARC_6,NARC_7,NARC_8,NARC_9,NARC_10,NARC_11,NARC_12,NARC_13,NARC_14,NARC_15,NARC_16,NARC_17,NARC_18,Voc_Interests_5_R,Voc_Interests_7_R,Voc_Interests_11_R,Voc_Interests_13_R,Voc_Interests_15_R,Voc_Interests_24_R,Voc_Interests_27_R,Voc_Interests_34_R,Voc_Interests_51_R,Voc_Interests_9_I,Voc_Interests_10_I,Voc_Interests_14_I,Voc_Interests_21_I,Voc_Interests_25_I,Voc_Interests_29_I,Voc_Interests_32_I,Voc_Interests_39_I,Voc_Interests_52_I,Voc_Interests_2_A,Voc_Interests_3_A,Voc_Interests_6_A,Voc_Interests_19_A,Voc_Interests_22_A,Voc_Interests_30_A,Voc_Interests_38_A,Voc_Interests_44_A,Voc_Interests_54_A,Voc_Interests_16_S,Voc_Interests_23_S,Voc_Interests_35_S,Voc_Interests_43_S,Voc_Interests_45_S,Voc_Interests_46_S,Voc_Interests_47_S,Voc_Interests_48_S,Voc_Interests_53_S,Voc_Interests_18_E,Voc_Interests_26_E,Voc_Interests_28_E,Voc_Interests_31_E,Voc_Interests_33_E,Voc_Interests_37_E,Voc_Interests_41_E,Voc_Interests_42_E,Voc_Interests_50_E,Voc_Interests_1_C,Voc_Interests_4_C,Voc_Interests_8_C,Voc_Interests_12_C,Voc_Interests_17_C,Voc_Interests_20_C,Voc_Interests_36_C,Voc_Interests_40_C,Voc_Interests_49_C,WV1_achievement,WV6_achievement,WV4_status,WV5_status,WV12_status,WV8_altruism,WV11_altruism,WV15_altruism,WV2_safety,WV16_safety,WV17_safety,WV3_comfort,WV7_comfort,WV10_comfort,WV14_comfort,WV18_comfort,WV19_comfort,WV9_autonomy,WV13_autonomy,WV20_autonomy,Ethnicity,Work_status,Edu,Income,Age,Gender
560,R_vdkGn3wpCvdtKw1,3,3,3,2,3,2,3,3,3,3,2,2,2,3,2,2,3,2,2,2,3,4,4,4,4,3,4,2,4,3,2,2,2,2,3,3,2,2,3,3,3,4,4,4,3,4,2,2,2,3,4,3,4,3,3,2,3,3,3,3,5,2,2,2,5,2,4,2,2,2,2,3,5,5,2,2,2,2,3,2,3,4,5,5,4,2,4,2,2,5,4,2,3,2,2,2,3,3,4,4,5,5,5,4,4,3,5,2,2,5,3,2,5,4,3,2,4,2,2,5,4,4,5,2,3,2,4,3,5,5,4,5,5,6,6,6,6,4,6,6,4,6,6,6,4,4,6,6,5,5,5,6,1,12,3,2,44,1
561,R_2w1gQeDcJcEwYRt,1,1,1,4,4,4,4,1,4,1,1,1,1,4,1,1,3,1,1,1,1,1,1,4,3,1,1,1,4,3,1,1,1,1,4,1,1,1,1,1,1,4,1,1,3,1,1,1,3,4,1,4,1,4,4,1,4,4,4,4,6,4,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,3,1,1,5,1,1,1,1,1,5,5,5,5,7,7,7,1,1,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,5,12,2,2,48,1
562,R_22reQmydDQkwoaS,4,3,2,4,2,1,3,3,3,3,4,4,4,3,4,4,4,1,4,4,4,4,3,2,1,3,3,1,4,1,4,3,4,2,4,3,2,3,1,1,4,1,2,2,3,2,1,2,1,1,4,2,4,2,2,3,1,1,1,1,4,1,1,4,5,4,5,2,4,1,1,1,1,1,1,1,4,1,4,4,4,4,1,4,4,5,1,4,4,4,1,1,4,4,4,1,5,1,5,5,1,1,1,4,5,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,1,12,6,7,45,0
563,R_28TCk67NaRfm78A,3,3,4,2,4,3,3,3,4,3,3,3,4,2,3,3,3,4,4,4,3,4,3,2,2,4,4,3,4,3,3,2,3,3,3,3,3,4,2,4,4,3,3,4,3,4,3,3,4,3,3,4,3,4,3,2,3,3,3,3,4,5,4,5,3,5,5,5,5,5,4,6,3,3,5,4,5,5,3,5,4,4,2,5,5,4,5,2,3,4,3,1,3,3,3,4,3,3,5,3,4,4,3,3,3,4,3,3,3,3,3,4,4,3,3,5,5,3,3,3,3,3,4,4,3,3,2,3,2,5,3,5,5,7,7,7,5,7,5,7,7,7,5,7,7,7,7,7,7,4,7,5,6,12,3,3,24,0
564,R_3nIQ2YpowoFSRyG,3,2,3,2,2,2,2,3,3,2,3,3,3,3,2,3,3,3,3,3,2,2,2,3,3,3,2,2,2,3,3,2,3,3,3,2,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,4,2,4,3,4,3,2,3,4,2,2,3,4,4,4,3,5,2,4,3,2,4,2,3,2,4,2,4,3,2,4,4,3,4,4,2,4,3,4,4,2,3,4,2,2,3,2,4,2,3,2,2,2,2,2,4,3,2,3,2,2,3,2,4,2,2,3,2,2,2,2,2,6,6,6,5,6,6,7,5,7,6,5,4,6,5,7,4,7,6,6,6,4,12,4,7,46,0
569,R_3p8Rd5VZwAuvdIJ,3,2,2,2,2,1,3,2,3,2,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,1,2,2,2,3,2,2,3,2,2,2,1,3,3,2,1,2,2,1,2,2,1,1,3,3,3,2,1,1,1,1,1,3,4,2,2,4,5,2,2,3,3,4,1,2,2,3,2,2,4,2,3,2,2,2,2,2,2,4,1,4,3,4,4,3,4,4,5,2,3,3,4,2,3,4,3,2,3,3,2,2,1,4,2,4,2,2,1,4,3,2,2,2,2,1,3,1,3,1,2,2,3,1,3,1,6,7,5,2,4,5,6,4,7,4,5,4,2,3,3,4,7,4,5,5,6,12,6,7,34,0
582,R_3s6pJMgijPipFk7,3,3,3,3,4,2,2,3,3,2,4,4,4,4,4,3,4,4,4,4,2,3,3,2,4,2,2,2,4,2,2,3,2,2,4,3,4,1,3,4,1,1,2,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,4,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,2,1,2,3,3,3,2,4,3,5,2,4,3,5,2,2,3,4,5,1,3,1,3,1,2,2,1,1,2,1,3,2,3,5,1,1,4,1,1,1,1,1,1,1,1,2,1,4,2,3,2,2,1,3,5,1,6,5,4,1,3,6,7,7,6,6,6,7,2,5,6,5,6,5,3,2,1,12,4,3,28,0
583,R_2twV1BRxXjK5fb3,3,3,2,3,2,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,3,3,4,2,3,3,4,2,5,5,4,2,2,2,4,3,2,2,2,2,2,2,4,4,4,2,2,2,2,2,4,4,2,2,4,4,2,2,2,2,2,2,4,4,4,2,4,2,2,2,2,4,2,4,4,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,2,2,5,7,5,2,4,4,6,6,7,5,4,4,7,5,7,3,7,5,3,1,6,11,4,1,25,1
584,R_3PRXrij2gVgnSbm,4,4,4,1,4,4,4,4,4,4,4,1,4,4,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,4,4,4,4,4,1,1,1,4,1,1,4,4,4,1,4,4,4,4,4,4,1,1,4,1,1,1,1,1,4,1,6,1,4,1,6,1,5,1,6,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,1,3,5,3,4,5,5,5,5,5,5,5,3,5,5,5,5,5,1,5,5,7,4,7,2,7,7,6,1,7,7,7,1,7,1,7,1,7,2,4,4,1,12,4,3,27,0
586,R_2BsrubxF7fyl0Bz,2,1,2,3,3,3,3,3,3,2,3,2,3,3,4,4,3,4,1,4,1,2,1,1,1,1,1,1,1,2,2,1,3,2,3,1,2,2,1,3,4,3,1,4,3,4,2,2,3,1,3,3,4,3,3,3,3,3,3,3,4,2,1,1,6,1,5,2,5,1,1,1,1,1,2,1,1,1,5,2,1,1,4,2,2,2,4,4,5,2,2,4,4,5,2,4,1,1,2,5,2,2,5,2,1,1,2,2,4,1,1,1,1,1,2,5,5,2,5,5,2,4,5,4,5,4,4,2,4,4,4,2,7,7,7,7,7,7,7,7,7,7,7,6,7,4,7,7,7,7,7,7,1,12,6,7,56,0
586,R_1Itwg91Vyio9hWt,2,2,2,3,2,2,2,2,2,2,3,3,2,3,3,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,1,1,3,1,1,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,5,2,2,2,5,5,2,2,5,5,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,12,4,3,51,1
587,R_s6jEvq2d33TfA0p,2,2,2,2,3,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,4,1,3,1,2,2,3,3,2,2,2,2,2,3,2,2,2,2,4,2,2,3,2,2,2,2,2,1,3,2,3,3,2,3,4,3,3,2,5,3,3,3,4,4,2,3,4,3,2,2,2,2,3,2,3,2,4,2,2,2,2,2,2,4,2,2,2,4,3,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,2,2,2,2,2,4,3,2,2,2,2,2,2,2,2,5,5,6,4,6,4,5,5,6,4,5,5,5,3,5,4,6,4,5,6,1,12,4,5,34,0
589,R_UX9gv0ThoKhIwmZ,2,1,3,2,2,2,3,2,1,2,3,3,2,3,3,3,3,4,3,3,4,3,2,2,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,1,2,3,2,3,2,1,3,3,2,2,3,2,2,2,2,2,2,2,2,4,3,2,3,4,2,4,2,4,3,1,2,2,4,3,3,4,3,3,3,1,2,4,2,3,2,2,4,3,2,2,4,2,4,2,2,5,3,2,2,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,2,3,4,4,4,2,2,3,2,2,2,2,2,2,6,6,6,6,6,6,4,6,6,6,6,5,6,4,6,6,6,6,5,5,6,12,4,1,28,1
590,R_Zwy6uaD9y7eFKRX,1,2,1,2,1,3,2,1,1,2,1,1,1,4,1,3,2,1,1,1,4,4,3,4,4,3,4,3,2,4,3,1,3,1,2,4,2,1,1,3,1,3,2,2,3,1,1,3,3,3,3,1,1,1,1,1,1,1,2,3,2,1,3,1,4,1,1,2,4,2,2,3,4,4,2,1,2,1,5,2,2,1,1,1,3,1,3,1,4,1,1,1,1,1,1,1,4,5,2,5,5,5,5,2,5,1,2,1,1,3,1,1,3,1,4,1,4,1,1,3,4,1,4,1,4,1,1,1,3,1,4,1,6,5,5,4,3,7,6,5,7,6,7,4,6,5,7,7,7,7,6,5,9,12,4,3,25,1
590,R_2dYHkccG45uvreb,2,2,2,1,2,2,3,2,2,2,3,3,3,2,4,3,3,3,2,4,3,3,2,2,3,2,2,2,1,3,3,3,3,3,3,1,2,2,1,3,3,3,2,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,1,3,1,3,3,1,1,5,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,2,2,2,4,3,4,3,2,2,2,2,4,4,2,2,2,2,2,2,2,4,4,4,2,2,4,2,2,4,4,3,2,2,3,3,4,2,2,7,6,7,7,6,6,6,6,7,6,6,7,7,6,7,6,7,7,7,6,4,12,6,6,33,1
590,R_1DqJZsoiexGLd0k,1,2,1,4,1,1,2,1,2,3,3,3,4,3,1,4,3,3,3,4,1,1,1,1,2,1,1,1,3,2,3,1,1,2,1,3,1,1,1,1,3,2,1,1,4,3,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,6,1,3,1,5,5,1,4,6,6,1,1,1,1,1,4,2,1,5,1,5,4,1,5,4,4,4,1,1,4,4,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,7,7,7,3,5,7,7,7,7,7,7,6,7,1,7,7,7,7,6,7,9,12,4,7,39,0
590,R_3EnDUd2ApEjcHKp,2,1,3,3,2,1,2,2,2,2,4,3,4,3,2,4,3,3,3,3,2,2,2,3,3,2,2,1,2,2,3,2,3,3,4,2,2,2,2,1,3,2,2,3,3,3,3,2,2,2,3,2,3,3,2,2,1,2,2,2,3,2,4,3,3,2,4,4,6,2,2,2,2,2,2,3,4,2,3,2,1,2,3,2,2,5,1,4,5,4,4,4,4,2,4,4,2,4,4,3,3,3,3,3,3,3,2,4,2,1,1,2,1,2,2,3,3,2,3,2,1,2,2,2,1,1,2,2,2,2,2,1,7,6,5,4,5,6,5,5,6,6,3,5,6,3,5,5,6,5,4,5,1,12,6,7,53,0
593,R_1P1adCpQkUK2i5L,3,2,3,2,3,2,1,2,2,1,4,4,3,4,3,4,4,2,3,3,3,4,3,2,3,3,3,2,1,3,2,3,4,3,4,2,4,3,2,4,2,2,1,2,1,2,4,1,1,1,4,2,2,3,2,2,2,2,2,1,2,1,2,1,2,1,2,1,5,2,1,1,1,1,1,1,2,1,1,4,2,4,5,4,1,4,4,2,2,5,5,2,2,1,5,5,1,1,3,4,5,2,4,4,5,5,4,4,4,4,5,5,2,1,1,4,1,1,5,2,1,1,2,2,2,2,2,2,1,2,1,2,6,7,2,1,1,6,7,7,6,5,5,6,3,6,6,7,7,7,6,6,1,12,7,7,45,1
603,R_24kCH7mrdgUwlU7,2,2,2,3,3,2,2,2,2,2,3,3,3,3,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,4,2,4,4,3,4,3,4,3,4,3,3,2,3,2,3,2,3,3,3,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,3,2,2,3,2,2,3,3,3,3,3,4,5,3,5,4,4,3,3,5,5,3,5,3,3,4,1,12,4,1,37,0
604,R_1GTuQ8TmyWVMobb,2,1,1,1,1,1,1,1,2,1,1,1,2,3,2,3,1,1,1,2,2,4,2,2,3,2,2,3,4,3,4,3,1,1,3,4,4,3,3,3,1,3,3,1,4,1,1,3,3,3,1,1,1,2,1,1,2,1,1,2,4,1,3,4,6,2,2,2,4,2,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,2,5,1,1,4,3,1,2,1,2,4,3,1,1,4,4,1,4,2,2,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,5,5,4,1,5,6,5,4,6,7,7,4,4,4,6,4,7,4,4,4,1,12,6,4,25,1
604,R_x4a3H7H6zNjfagx,3,2,2,2,2,3,3,2,2,4,3,3,4,3,3,4,3,3,3,4,4,2,1,1,4,2,4,1,4,3,2,3,4,3,3,3,3,4,2,2,4,1,1,2,2,2,2,1,1,1,2,2,2,3,2,4,2,2,2,2,4,2,3,2,5,4,2,4,5,2,1,2,4,4,2,6,2,2,2,4,2,3,4,2,5,2,4,4,4,4,4,5,4,2,4,5,5,2,2,4,3,2,4,2,5,4,2,4,2,3,4,3,2,1,1,5,3,2,4,2,2,2,2,4,1,2,4,2,2,2,4,2,6,7,6,4,5,5,6,6,6,6,5,5,4,2,6,5,5,6,5,5,1,12,6,7,41,0
608,R_1pWmajh8Y1NuJD5,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,3,3,3,2,2,2,2,1,2,2,1,3,1,2,1,1,1,2,2,1,2,3,1,1,2,2,2,3,2,3,3,3,2,3,2,3,3,4,2,2,2,4,2,1,1,2,1,5,2,4,4,1,1,2,1,2,2,4,4,2,4,2,4,3,4,4,4,2,1,4,3,4,3,2,2,2,2,3,4,4,4,5,1,2,1,1,1,1,1,1,1,1,2,2,1,1,3,1,1,1,2,2,1,3,2,2,4,4,1,7,7,7,1,7,7,7,5,7,7,6,4,7,7,7,4,7,6,7,7,1,12,3,2,31,0
612,R_2UXzTWwdIYtgXJG,1,1,4,3,4,4,3,3,3,3,2,3,3,3,2,2,3,3,1,4,4,2,1,1,1,1,2,1,4,3,1,2,1,1,1,1,1,1,2,4,3,1,1,2,1,3,1,2,1,1,3,3,3,1,2,2,2,2,2,1,2,1,3,2,5,1,5,2,5,6,3,4,5,6,4,1,2,2,1,4,2,1,5,3,1,4,4,4,4,4,1,4,1,1,1,1,1,1,4,1,4,1,1,1,5,2,4,1,4,5,1,1,1,1,1,2,1,1,3,1,1,1,1,4,1,2,2,1,1,2,1,4,1,6,1,1,4,6,7,5,7,2,6,2,5,4,7,1,7,2,2,2,1,12,6,4,43,0
618,R_2PvVqRUv6IwvzwK,4,3,3,4,4,3,2,3,3,3,3,1,4,4,4,3,2,4,2,3,3,3,2,3,4,4,3,1,1,3,1,1,1,1,1,3,1,1,1,2,3,2,1,3,3,3,1,1,1,1,1,1,4,3,1,1,3,1,1,1,5,2,2,2,5,3,5,4,6,5,1,2,5,5,2,1,2,1,5,4,4,5,5,5,4,5,4,5,4,5,1,1,5,4,5,3,5,2,3,3,1,4,3,1,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,7,4,7,1,6,6,6,1,7,7,7,4,7,4,7,4,6,6,6,7,1,12,4,3,37,0
628,R_Tc61Nwb1iLpFi7v,1,1,1,1,1,1,1,1,1,2,4,3,3,3,3,1,2,4,1,3,3,3,3,2,3,3,3,2,3,3,3,3,2,4,3,3,3,3,3,3,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,2,4,3,4,4,2,2,4,2,1,2,4,3,4,1,5,2,2,1,2,1,5,1,2,1,1,5,2,1,1,4,1,4,2,4,4,1,4,2,1,2,5,2,2,4,2,5,5,4,4,5,2,4,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,6,6,6,3,6,6,7,6,7,6,6,6,7,5,6,5,6,5,5,3,1,12,4,3,25,1
628,R_1LSWhdBMqwKCDTl,2,2,3,3,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,2,3,2,1,2,3,3,3,3,3,2,3,3,2,2,3,3,3,2,3,2,2,3,3,3,2,2,3,3,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,3,2,2,2,4,2,3,4,2,4,2,2,2,4,3,3,3,2,4,4,3,3,3,3,2,3,4,3,2,3,2,3,3,4,2,3,2,2,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,4,4,5,4,5,5,5,5,6,4,5,4,4,5,5,3,6,5,5,4,1,12,3,1,22,1
629,R_4SgD7YuuGfMnFoB,2,2,2,2,2,2,3,3,2,2,3,3,2,3,3,2,3,3,3,2,4,4,4,3,3,2,3,2,4,3,2,4,2,2,4,2,3,2,2,3,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,4,2,3,2,4,3,1,2,1,1,1,2,3,1,3,4,2,2,4,3,2,2,3,4,4,2,2,3,4,4,4,4,4,2,2,4,4,3,4,4,5,4,3,4,4,4,4,5,4,2,3,2,4,2,4,2,2,1,2,2,3,2,2,2,3,2,3,2,7,7,4,3,5,7,7,7,6,6,4,5,5,6,7,7,6,6,7,6,1,12,3,3,49,0
635,R_2tbbRU46M2G54Dm,1,3,2,3,2,2,3,2,3,2,2,2,3,3,3,2,1,2,2,3,3,3,3,3,3,3,3,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,2,3,3,3,2,3,2,3,3,3,3,3,2,1,2,2,4,1,3,1,3,1,1,2,4,4,3,3,4,2,1,2,3,3,4,3,2,2,1,2,3,3,3,2,3,2,2,1,4,3,4,4,5,3,4,4,4,3,4,2,1,3,2,3,4,1,2,2,4,1,2,3,1,1,4,3,1,2,3,4,3,3,3,2,5,1,3,5,3,6,5,3,6,7,5,1,6,4,5,3,6,5,5,5,6,12,4,6,26,1
636,R_1mEHGDA92nl66kb,1,1,2,1,3,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,3,2,1,3,2,2,3,2,2,2,1,3,4,2,3,2,3,3,3,4,2,3,1,4,3,3,4,1,3,3,3,3,2,3,2,3,3,3,3,3,6,1,4,5,6,5,1,1,5,1,1,1,4,2,1,1,4,1,1,1,1,2,3,1,1,2,1,3,2,2,1,1,1,1,1,1,1,4,1,3,1,1,3,1,3,3,5,2,1,5,2,2,1,2,3,1,4,1,5,4,4,3,4,4,3,4,2,4,1,4,4,3,7,7,7,7,7,7,4,6,7,7,6,7,7,6,6,7,7,7,7,6,1,12,7,4,25,1
638,R_VL5jG8m9dK7l4I1,2,1,1,1,2,2,3,2,4,1,2,2,1,2,2,3,2,2,2,2,1,3,1,2,2,3,2,1,1,2,2,4,4,3,4,3,3,4,3,2,3,4,1,4,3,4,4,3,3,3,1,4,3,2,3,4,4,4,3,3,3,2,4,2,4,2,2,2,4,2,5,2,2,2,1,2,3,2,5,1,1,1,2,1,3,1,2,1,1,1,3,5,1,1,1,5,1,3,5,4,1,1,3,3,2,5,5,4,2,2,4,2,3,3,4,5,4,4,5,4,4,5,4,5,4,4,1,5,4,4,4,4,6,6,7,5,6,6,7,7,7,6,6,6,7,6,7,5,7,6,6,7,1,12,7,5,33,1
644,R_3OkcaxB7E73MK36,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,3,1,2,3,2,2,1,1,2,1,3,1,1,1,1,1,1,2,3,1,1,1,1,1,2,3,2,3,3,2,2,3,3,3,3,1,2,3,5,2,2,4,3,2,2,2,6,5,4,2,6,2,4,4,2,2,3,4,4,4,4,4,4,4,2,3,4,4,4,4,2,2,2,2,4,2,4,4,4,1,1,2,3,1,1,1,1,3,1,2,2,2,2,2,1,1,1,4,4,1,4,3,4,4,4,3,7,7,7,7,6,7,7,5,7,7,7,5,7,7,7,6,7,7,7,7,1,12,3,2,40,1
647,R_2Xnb9DJI2yClrlZ,3,3,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,4,4,3,3,2,4,3,2,4,2,2,4,3,3,4,2,3,4,3,2,1,1,2,1,3,1,1,3,2,2,1,3,2,3,2,2,2,2,2,3,6,3,1,1,6,4,2,2,5,1,6,1,1,1,2,1,5,1,1,1,4,4,5,2,1,1,1,1,4,2,1,1,1,1,1,1,3,1,4,1,4,4,3,1,5,4,2,4,1,4,4,2,4,1,1,1,1,1,2,3,4,2,4,1,1,1,1,1,1,3,4,2,7,7,7,1,4,7,7,5,7,6,7,1,7,7,7,7,7,7,6,7,4,12,4,3,26,1
649,R_29tCmfKBwJ2smzN,1,2,1,1,3,3,3,2,3,3,3,3,4,3,4,3,4,4,3,4,1,1,1,1,2,1,1,1,1,2,1,2,1,1,3,1,2,1,1,1,3,1,1,1,1,2,2,1,1,2,2,1,3,2,1,1,3,1,3,1,2,2,2,3,3,2,2,2,4,3,2,2,2,3,2,2,3,2,1,1,2,2,2,2,4,2,2,5,4,2,4,4,4,4,3,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,1,4,1,3,2,2,2,3,2,7,6,6,5,5,6,6,6,6,5,5,6,6,6,7,4,7,5,6,7,1,12,4,5,33,0
650,R_1jJ7ujgV9RPRKiZ,4,4,4,2,3,2,3,4,3,3,1,1,1,1,1,3,1,1,1,1,4,1,1,3,4,4,4,1,1,4,3,3,2,3,3,1,2,2,1,2,1,2,1,1,4,1,2,1,1,2,1,4,2,1,1,1,1,1,1,3,1,1,1,1,5,2,2,1,3,6,1,4,1,1,1,1,2,1,3,3,4,4,5,3,3,2,3,1,1,2,1,1,1,1,1,2,2,1,3,3,3,3,4,3,5,3,3,2,1,3,3,2,2,1,1,1,1,1,2,1,1,2,1,1,2,1,3,3,3,1,3,1,1,1,1,1,1,4,7,1,7,4,4,1,7,7,7,1,7,7,7,7,1,12,2,2,38,0
651,R_eWNWsSggPdyDWPT,2,2,2,3,2,1,3,2,2,1,3,2,2,3,2,3,3,2,3,2,3,3,3,3,2,3,3,4,3,2,3,3,3,3,3,3,3,3,2,3,3,1,3,3,4,3,4,3,1,1,3,3,2,3,3,3,2,2,2,1,4,1,2,3,5,2,4,2,4,2,1,1,3,3,1,1,3,1,4,4,2,2,5,2,2,2,1,2,2,2,4,2,4,2,2,4,4,4,4,4,4,4,5,4,5,4,4,4,2,4,4,4,4,1,1,2,2,2,5,4,2,2,4,2,4,1,4,4,4,4,2,4,5,4,5,2,5,6,4,2,6,6,6,4,6,7,6,2,6,4,6,6,4,12,4,2,41,1
651,R_3O0yVkLjZjY4j00,2,3,2,3,1,1,2,1,1,2,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,2,3,4,3,3,4,2,2,1,1,2,1,4,1,3,4,2,2,1,1,2,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,2,1,1,5,5,4,1,5,5,3,5,5,3,1,5,3,4,5,5,1,5,5,3,4,2,3,3,5,3,1,1,1,1,1,3,2,1,1,1,1,1,1,1,3,2,2,3,3,7,6,3,1,1,7,7,6,7,4,4,3,7,7,7,4,7,5,4,4,1,11,3,2,37,1
661,R_1NgGduO1jWsFKQp,2,2,2,1,2,1,2,2,2,1,3,3,3,2,3,2,3,3,2,3,3,2,2,2,2,2,3,2,1,2,3,3,3,2,3,3,3,3,2,3,1,2,2,2,1,2,2,2,2,2,4,2,3,3,2,2,2,2,2,2,3,1,2,2,4,1,3,1,4,2,1,1,4,1,1,2,4,1,1,2,2,2,4,2,1,2,1,4,2,5,4,1,2,4,2,1,2,2,4,3,3,3,2,-99,4,4,5,2,1,4,4,4,4,1,2,4,2,2,4,2,2,2,3,4,2,2,2,4,2,2,2,2,5,6,5,1,3,5,6,6,6,5,5,2,4,2,5,2,6,3,2,2,1,12,4,3,23,1
